ID;Lat;Long;Zone;Type
323;353469.85;7726036.64;24K;1
324;353414.59;7725953.3;24K;1
325;353357.75;7725871.02;24K;1
326;353310.31;7725783.4;24K;1
327;353268.08;7725692.75;24K;1
328;353225.86;7725602.11;24K;1
329;353183.63;7725511.46;24K;1
330;353141.4;7725420.81;24K;1
331;353099.18;7725330.16;24K;1
332;353056.95;7725239.52;24K;1
333;353014.72;7725148.87;24K;1
334;352972.5;7725058.22;24K;1
335;352930.27;7724967.58;24K;1
336;352888.05;7724876.93;24K;1
337;352846;7724786.2;24K;1
338;352804;7724695.45;24K;1
339;352761.99;7724604.7;24K;1
340;352719.85;7724514.01;24K;1
341;352677.69;7724423.33;24K;1
342;352635.53;7724332.65;24K;1
343;352593.23;7724242.04;24K;1
344;352550.93;7724151.42;24K;1
345;352508.61;7724060.82;24K;1
346;352466.17;7723970.28;24K;1
347;352423.72;7723879.73;24K;1
348;352381.44;7723789.11;24K;1
349;352335.2;7723700.47;24K;1
350;352282.05;7723615.81;24K;1
351;352222.37;7723535.6;24K;1
352;352156.36;7723460.52;24K;1
353;352084.05;7723391.48;24K;1
354;352009.35;7723325.01;24K;1
355;351932.75;7723260.73;24K;1
356;351854.33;7723198.69;24K;1
357;351773.91;7723139.28;24K;1
358;351697.85;7723074.53;24K;1
359;351632.63;7722998.86;24K;1
360;351580.01;7722913.94;24K;1
361;351541.04;7722821.96;24K;1
362;351516.91;7722725.03;24K;1
363;351505.29;7722625.72;24K;1
364;351494.24;7722526.33;24K;1
365;351483.2;7722426.94;24K;1
366;351472.16;7722327.55;24K;1
367;351461.12;7722228.17;24K;1
368;351450.07;7722128.78;24K;1
369;351439.03;7722029.39;24K;1
370;351427.99;7721930;24K;1
371;351416.94;7721830.61;24K;1
372;351405.9;7721731.22;24K;1
373;351394.86;7721631.84;24K;1
374;351383.81;7721532.45;24K;1
375;351373.84;7721432.96;24K;1
376;351365.48;7721333.31;24K;1
377;351355.64;7721233.8;24K;1
378;351344.3;7721134.44;24K;1
379;351331.63;7721035.25;24K;1
380;351317.37;7720936.27;24K;1
381;351301.73;7720837.5;24K;1
382;351284.55;7720739;24K;1
383;351262.45;7720641.47;24K;1
384;351237.26;7720544.71;24K;1
385;351208.99;7720448.79;24K;1
386;351177.68;7720353.82;24K;1
387;351143.36;7720259.9;24K;1
388;351106.24;7720167.05;24K;1
389;351068.71;7720074.36;24K;1
390;351030.98;7719981.75;24K;1
391;350993.01;7719889.24;24K;1
392;350954.68;7719796.88;24K;1
393;350916.18;7719704.58;24K;1
394;350877.32;7719612.44;24K;1
395;350821;7719532.32;24K;1
396;350767.91;7719447.66;24K;1
397;350714.57;7719363.07;24K;1
398;350660.51;7719278.95;24K;1
399;350592.23;7719207.44;24K;1
400;350496.87;7719182.03;24K;1
401;350401.75;7719210.11;24K;1
402;350310.19;7719250.28;24K;1
403;350223.31;7719299.14;24K;1
404;350141.77;7719357.03;24K;1
405;350060.34;7719415.07;24K;1
406;349979.03;7719473.29;24K;1
407;349897.87;7719531.7;24K;1
408;349816.8;7719590.26;24K;1
409;349732.48;7719643.83;24K;1
410;349643.26;7719688.94;24K;1
411;349549.8;7719723.57;24K;1
412;349451.86;7719743.74;24K;1
413;349353.87;7719763.68;24K;1
414;349255.84;7719783.45;24K;1
415;349157.74;7719802.85;24K;1
416;349059.61;7719822.1;24K;1
417;348961.43;7719841.08;24K;1
418;348863.35;7719860.55;24K;1
419;348764.53;7719875.83;24K;1
420;348665.02;7719885.55;24K;1
421;348565.66;7719896.09;24K;1
422;348468.97;7719921.21;24K;1
423;348377.1;7719960.46;24K;1
424;348292.69;7720013.91;24K;1
425;348209.59;7720069.54;24K;1
426;348126.84;7720125.6;24K;1
427;348035.56;7720165.86;24K;1
428;347937.49;7720184.21;24K;1
429;347837.62;7720189.35;24K;1
430;347737.69;7720192.97;24K;1
431;347637.71;7720194.84;24K;1
432;347537.71;7720195.12;24K;1
433;347437.72;7720193.73;24K;1
434;347337.83;7720189.73;24K;1
435;347237.91;7720187.71;24K;1
436;347138.39;7720196.87;24K;1
437;347040.98;7720218.41;24K;1
438;346947.88;7720254.72;24K;1
439;346851.07;7720279.48;24K;1
440;346751.96;7720292.32;24K;1
441;346652.07;7720295.24;24K;1
442;346552.19;7720299.26;24K;1
443;346452.32;7720294.73;24K;1
444;346353.53;7720280.33;24K;1
445;346257.77;7720251.52;24K;1
446;346161.8;7720223.41;24K;1
447;346065.63;7720195.98;24K;1
448;345967.61;7720177.93;24K;1
449;345868.16;7720167.48;24K;1
450;345768.59;7720158.2;24K;1
451;345668.93;7720149.92;24K;1
452;345569.2;7720142.63;24K;1
453;345469.5;7720134.96;24K;1
454;345369.57;7720131.68;24K;1
455;345269.59;7720133.49;24K;1
456;345169.83;7720140.14;24K;1
457;345070.51;7720151.69;24K;1
458;344971.29;7720163.31;24K;1
459;344872.33;7720151.39;24K;1
460;344780.14;7720113.46;24K;1
461;344701.43;7720052.28;24K;1
462;344641.94;7719972.27;24K;1
463;344601.24;7719880.99;24K;1
464;344559.04;7719790.34;24K;1
465;344512.84;7719701.67;24K;1
466;344462.66;7719615.18;24K;1
467;344402.63;7719535.77;24K;1
468;344343.31;7719455.39;24K;1
469;344297.15;7719366.8;24K;1
470;344265.95;7719271.97;24K;1
471;344242.59;7719174.74;24K;1
472;344219.24;7719077.5;24K;1
473;344195.89;7718980.26;24K;1
474;344173.52;7718882.84;24K;1
475;344130.62;7718793;24K;1
476;344061.37;7718721.57;24K;1
477;343979.71;7718663.85;24K;1
478;343898.05;7718606.14;24K;1
479;343816.38;7718548.42;24K;1
480;343734.72;7718490.7;24K;1
481;343652.84;7718433.34;24K;1
482;343560.66;7718395.73;24K;1
483;343461.32;7718389.35;24K;1
484;343363.71;7718410.47;24K;1
485;343264.23;7718417.61;24K;1
486;343166.05;7718400.03;24K;1
487;343075.14;7718359;24K;1
488;342995.82;7718298.3;24K;1
489;342921.31;7718231.62;24K;1
490;342850.71;7718160.83;24K;1
491;342782.7;7718087.56;24K;1
492;342704.88;7718024.95;24K;1
493;342617.26;7717977.04;24K;1
494;342522.59;7717945.25;24K;1
495;342423.81;7717930.66;24K;1
496;342323.93;7717925.83;24K;1
497;342224.01;7717921.86;24K;1
498;342124.06;7717918.74;24K;1
499;342024.08;7717916.54;24K;1
500;341924.42;7717912.24;24K;1
501;341866.19;7717838.77;24K;1
502;341806.3;7717761.58;24K;1
503;341709.82;7717740.97;24K;1
504;341609.88;7717737.89;24K;1
505;341510.19;7717743.21;24K;1
506;341411.04;7717734.06;24K;1
507;341319.41;7717694.98;24K;1
508;341229.22;7717651.83;24K;1
509;341141.99;7717602.97;24K;1
510;341058.08;7717548.6;24K;1
511;340980.46;7717485.83;24K;1
512;340906.52;7717418.5;24K;1
513;340832.58;7717351.18;24K;1
514;340756.97;7717285.79;24K;1
515;340685.93;7717215.49;24K;1
516;340627.43;7717135.09;24K;1
517;340584.34;7717044.86;24K;1
518;340538.49;7716955.99;24K;1
519;340486.7;7716871;24K;1
520;340403.01;7716818.24;24K;1
521;340304.24;7716812.76;24K;1
522;340207.12;7716836.53;24K;1
523;340109.75;7716858.25;24K;1
524;340011.88;7716842.32;24K;1
525;339930.99;7716785.11;24K;1
526;339865.43;7716709.6;24K;1
527;339799.8;7716634.15;24K;1
528;339734.04;7716558.82;24K;1
529;339668.14;7716483.6;24K;1
530;339602.16;7716408.45;24K;1
531;339536;7716333.47;24K;1
532;339469.62;7716258.69;24K;1
533;339391.87;7716196.27;24K;1
534;339300.38;7716156.64;24K;1
535;339202.16;7716138.2;24K;1
536;339102.77;7716132.42;24K;1
537;339009.2;7716098.92;24K;1
538;338934.94;7716032.88;24K;1
539;338887.94;7715945;24K;1
540;338828.11;7715865.43;24K;1
