"specie" "km" "X" "Y"
"Cthous" 11.5 362056.018 7743849.498
"Cthous" 12 361757.886 7743467.65
"Cthous" 12 361752.106 7743490.169
"Cthous" 12.5 361587.072 7742919.964
"Cthous" 17.9 360449.364 7737714.236
"Cthous" 17.9 360449.364 7737714.236
"Cthous" 18 360449.364 7737714.236
"Cthous" 18 360449.364 7737714.236
"Cthous" 18 360449.364 7737714.236
"Cthous" 18 360449.364 7737714.236
"Cthous" 18.4 360095.425 7737331.298
"Cthous" 18.6 360095.425 7737331.298
"Cthous" 18.8 359798.014 7736950.003
"Cthous" 19 359798.014 7736950.003
"Cthous" 19.3 359484.702 7736462.277
"Cthous" 19.3 359484.702 7736462.277
"Cthous" 19.3 359484.702 7736462.277
"Cthous" 19.6 359510.388 7736537.31
"Cthous" 20 359234.941 7736142.526
"Cthous" 20.1 359240.188 7736117.035
"Cthous" 20.5 358986.37 7735611.973
"Cthous" 20.8 358894.755 7735186.038
"Cthous" 20.8 358894.755 7735186.038
"Cthous" 21 358911.09 7735173.108
"Cthous" 21.5 358930.073 7734636.447
"Cthous" 22 358918.523 7734205.828
"Cthous" 22.3 358751.671 7733744.827
"Cthous" 22.5 358751.671 7733744.827
"Cthous" 22.5 358738.867 7733669.305
"Cthous" 22.8 358548.886 7733232.456
"Cthous" 22.9 358548.886 7733232.456
"Cthous" 23 358548.886 7733232.456
"Cthous" 24 357844.96 7732565.08
"Cthous" 24.1 357844.96 7732565.08
"Cthous" 24.5 357726.22 7732110.404
"Cthous" 24.7 357747.584 7732031.009
"Cthous" 25 357767.558 7731581.647
"Cthous" 26 357588.508 7730646.056
"Cthous" 27 356766.446 7730007.922
"Cthous" 27 356764.578 7730030.472
"Cthous" 27.3 356372.401 7729700.561
"Cthous" 27.4 356414.993 7729757.928
"Cthous" 27.5 356372.401 7729700.561
"Cthous" 27.5 356372.401 7729700.561
"Cthous" 27.5 356414.993 7729757.928
"Cthous" 27.5 356414.993 7729757.928
"Cthous" 27.8 355985.966 7729421.164
"Cthous" 28 355985.966 7729421.164
"Cthous" 28 355985.966 7729421.164
"Cthous" 28 355985.966 7729421.164
"Cthous" 28 355997.838 7729406.419
"Cthous" 28 355985.966 7729421.164
"Cthous" 28 355985.966 7729421.164
"Cthous" 28.2 355985.966 7729421.164
"Cthous" 29 355366.241 7728684.305
"Cthous" 29 355382.542 7728674.942
"Cthous" 29 355366.241 7728684.305
"Cthous" 29 355382.542 7728674.942
"Cthous" 29 355366.241 7728684.305
"Cthous" 29.8 354709.727 7727807.552
"Cthous" 30 354745.706 7727786.481
"Cthous" 30 354745.706 7727786.481
"Cthous" 32 353599.538 7726230.292
"Cthous" 32 353599.538 7726230.292
"Cthous" 32.2 353599.538 7726230.292
"Cthous" 32.3 353332.004 7725797.45
"Cthous" 32.5 353323.933 7725825.291
"Cthous" 33.1 353122.769 7725350.854
"Cthous" 33.3 352909.148 7724895.308
"Cthous" 33.3 352909.148 7724895.308
"Cthous" 33.5 352899.99 7724919.577
"Cthous" 34 352691.139 7724431.407
"Cthous" 34.5 352476.1 7724013.254
"Cthous" 34.5 352485.248 7723990.173
"Cthous" 35 352249.153 7723551.049
