Lat	Long	Zone	Type
351932.75	7723260.73	24K
351854.33	7723198.69	24K
351773.91	7723139.28	24K
351697.85	7723074.53	24K
351632.63	7722998.86	24K
351580.01	7722913.94	24K
351541.04	7722821.96	24K
351516.91	7722725.03	24K
351505.29	7722625.72	24K
351494.24	7722526.33	24K
351483.20	7722426.94	24K
351472.16	7722327.55	24K
351461.12	7722228.17	24K
351450.07	7722128.78	24K
351439.03	7722029.39	24K
351427.99	7721930.00	24K
351416.94	7721830.61	24K
351405.90	7721731.22	24K
351394.86	7721631.84	24K
351383.81	7721532.45	24K
351373.84	7721432.96	24K
351365.48	7721333.31	24K
351355.64	7721233.80	24K
351344.30	7721134.44	24K
351331.63	7721035.25	24K
351317.37	7720936.27	24K
351301.73	7720837.50	24K
351284.55	7720739.00	24K
351262.45	7720641.47	24K
351237.26	7720544.71	24K
351208.99	7720448.79	24K
351177.68	7720353.82	24K
351143.36	7720259.90	24K
351106.24	7720167.05	24K
351068.71	7720074.36	24K
351030.98	7719981.75	24K
350993.01	7719889.24	24K
350954.68	7719796.88	24K
350916.18	7719704.58	24K
350877.32	7719612.44	24K
350821.00	7719532.32	24K
350767.91	7719447.66	24K
350714.57	7719363.07	24K
350660.51	7719278.95	24K
350592.23	7719207.44	24K
350496.87	7719182.03	24K
350401.75	7719210.11	24K
350310.19	7719250.28	24K
350223.31	7719299.14	24K
350141.77	7719357.03	24K
350060.34	7719415.07	24K
349979.03	7719473.29	24K
349897.87	7719531.70	24K
349816.80	7719590.26	24K
349732.48	7719643.83	24K
349643.26	7719688.94	24K
349549.80	7719723.57	24K
349451.86	7719743.74	24K
349353.87	7719763.68	24K
349255.84	7719783.45	24K
349157.74	7719802.85	24K
349059.61	7719822.10	24K
348961.43	7719841.08	24K
348863.35	7719860.55	24K
348764.53	7719875.83	24K
348665.02	7719885.55	24K
348565.66	7719896.09	24K
348468.97	7719921.21	24K
348377.10	7719960.46	24K
348292.69	7720013.91	24K
348209.59	7720069.54	24K
348126.84	7720125.60	24K
348035.56	7720165.86	24K
347937.49	7720184.21	24K
347837.62	7720189.35	24K
347737.69	7720192.97	24K
347637.71	7720194.84	24K
347537.71	7720195.12	24K
347437.72	7720193.73	24K
347337.83	7720189.73	24K
347237.91	7720187.71	24K
347138.39	7720196.87	24K
347040.98	7720218.41	24K
346947.88	7720254.72	24K
346851.07	7720279.48	24K
346751.96	7720292.32	24K
346652.07	7720295.24	24K
346552.19	7720299.26	24K
346452.32	7720294.73	24K
346353.53	7720280.33	24K
346257.77	7720251.52	24K
346161.80	7720223.41	24K
346065.63	7720195.98	24K
345967.61	7720177.93	24K
345868.16	7720167.48	24K
345768.59	7720158.20	24K
345668.93	7720149.92	24K
345569.20	7720142.63	24K
345469.50	7720134.96	24K
345369.57	7720131.68	24K
345269.59	7720133.49	24K
345169.83	7720140.14	24K
345070.51	7720151.69	24K
344971.29	7720163.31	24K
344872.33	7720151.39	24K
344780.14	7720113.46	24K
344701.43	7720052.28	24K
344641.94	7719972.27	24K
344601.24	7719880.99	24K
344559.04	7719790.34	24K
344512.84	7719701.67	24K
344462.66	7719615.18	24K
344402.63	7719535.77	24K
344343.31	7719455.39	24K
344297.15	7719366.80	24K
344265.95	7719271.97	24K
344242.59	7719174.74	24K
344219.24	7719077.50	24K
344195.89	7718980.26	24K
344173.52	7718882.84	24K
344130.62	7718793.00	24K
344061.37	7718721.57	24K
343979.71	7718663.85	24K
343898.05	7718606.14	24K
343816.38	7718548.42	24K
343734.72	7718490.70	24K
343652.84	7718433.34	24K
343560.66	7718395.73	24K
343461.32	7718389.35	24K
343363.71	7718410.47	24K
343264.23	7718417.61	24K
343166.05	7718400.03	24K
343075.14	7718359.00	24K
342995.82	7718298.30	24K
342921.31	7718231.62	24K
342850.71	7718160.83	24K
342782.70	7718087.56	24K
342704.88	7718024.95	24K
342617.26	7717977.04	24K
342522.59	7717945.25	24K
342423.81	7717930.66	24K
342323.93	7717925.83	24K
342224.01	7717921.86	24K
342124.06	7717918.74	24K
342024.08	7717916.54	24K
341924.42	7717912.24	24K
341866.19	7717838.77	24K
341806.30	7717761.58	24K
341709.82	7717740.97	24K
341609.88	7717737.89	24K
341510.19	7717743.21	24K
341411.04	7717734.06	24K
341319.41	7717694.98	24K
341229.22	7717651.83	24K
341141.99	7717602.97	24K
341058.08	7717548.60	24K
340980.46	7717485.83	24K
340906.52	7717418.50	24K
340832.58	7717351.18	24K
340756.97	7717285.79	24K
340685.93	7717215.49	24K
340627.43	7717135.09	24K
340584.34	7717044.86	24K
340538.49	7716955.99	24K
340486.70	7716871.00	24K
340403.01	7716818.24	24K
340304.24	7716812.76	24K
340207.12	7716836.53	24K
340109.75	7716858.25	24K
340011.88	7716842.32	24K
339930.99	7716785.11	24K
339865.43	7716709.60	24K
339799.80	7716634.15	24K
339734.04	7716558.82	24K
339668.14	7716483.60	24K
339602.16	7716408.45	24K
339536.00	7716333.47	24K
339469.62	7716258.69	24K
339391.87	7716196.27	24K
339300.38	7716156.64	24K
339202.16	7716138.20	24K
339102.77	7716132.42	24K
339009.20	7716098.92	24K
338934.94	7716032.88	24K
338887.94	7715945.00	24K
338828.11	7715865.43	24K
338745.80	7715809.43	24K
338655.21	7715767.39	24K
338570.05	7715715.06	24K
338490.99	7715653.90	24K
338414.77	7715589.55	24K
338324.42	7715547.47	24K
338226.88	7715525.62	24K
338130.16	7715500.29	24K
338035.26	7715468.85	24K
337943.98	7715428.60	24K
337857.67	7715378.10	24K
337771.09	7715328.06	24K
337684.23	7715278.51	24K
337599.88	7715225.91	24K
337543.88	7715143.99	24K
337526.81	7715046.25	24K
337544.59	7714948.00	24K
337567.13	7714850.63	24K
337568.08	7714751.06	24K
337537.88	7714656.18	24K
337485.42	7714571.30	24K
337449.10	7714478.32	24K
337432.19	7714379.93	24K
337432.34	7714280.01	24K
337405.31	7714184.53	24K
337340.28	7714110.21	24K
337254.45	7714058.93	24K
337171.87	7714002.56	24K
337092.91	7713941.22	24K
337016.06	7713877.36	24K
336944.35	7713808.02	24K
336891.40	7713723.48	24K
336866.01	7713626.83	24K
336846.93	7713528.68	24K
336833.81	7713429.56	24K
336817.46	7713331.11	24K
336819.63	7713231.42	24K
336847.39	7713135.65	24K
336898.87	7713050.27	24K
336960.53	7712971.63	24K
337010.98	7712885.42	24K
337072.48	7712806.57	24K
337131.26	7712725.68	24K
337178.68	7712637.98	24K
337206.85	7712542.20	24K
337215.95	7712442.78	24K
337202.71	7712343.94	24K
337183.61	7712245.78	24K
337165.95	7712147.35	24K
337147.45	7712049.08	24K
337128.12	7711950.96	24K
337107.96	7711853.02	24K
337086.32	7711755.40	24K
337072.96	7711656.53	24K
337082.43	7711557.21	24K
337114.46	7711462.71	24K
337169.53	7711379.84	24K
337234.01	7711303.40	24K
337298.12	7711226.67	24K
337343.60	7711138.17	24K
337356.61	7711039.53	24K
337335.70	7710942.25	24K
337280.26	7710860.20	24K
337211.40	7710787.68	24K
337142.55	7710715.16	24K
337073.82	7710642.53	24K
337005.08	7710569.90	24K
336936.44	7710497.17	24K
336867.83	7710424.42	24K
336794.56	7710356.68	24K
336717.14	7710293.38	24K
336639.73	7710230.08	24K
336562.31	7710166.77	24K
336484.90	7710103.47	24K
336406.92	7710040.93	24K
336326.65	7709981.38	24K
336253.19	7709913.60	24K
336188.12	7709837.84	24K
336133.01	7709754.40	24K
336080.01	7709669.61	24K
336029.14	7709583.52	24K
335980.49	7709496.15	24K
335930.87	7709409.43	24K
335894.55	7709316.37	24K
335873.61	7709218.79	24K
335868.68	7709118.91	24K
335862.15	7709019.12	24K
335854.07	7708919.45	24K
335844.24	7708819.94	24K
335840.27	7708720.09	24K
335838.66	7708620.11	24K
335841.47	7708520.24	24K
335858.56	7708421.80	24K
335889.65	7708326.85	24K
335936.25	7708238.82	24K
335996.20	7708158.78	24K
336055.64	7708078.36	24K
336114.59	7707997.59	24K
336173.00	7707916.42	24K
336229.96	7707834.23	24K
336286.82	7707751.97	24K
336343.68	7707669.70	24K
336401.24	7707587.98	24K
336472.83	7707518.41	24K
336556.73	7707464.33	24K
336649.65	7707427.85	24K
336747.98	7707410.53	24K
336847.49	7707400.70	24K
336947.29	7707394.44	24K
337047.19	7707390.27	24K
337146.27	7707377.15	24K
337238.79	7707341.93	24K
337326.69	7707294.26	24K
337414.60	7707246.58	24K
337502.99	7707199.96	24K
337587.70	7707147.73	24K
337650.66	7707070.65	24K
337683.57	7706976.89	24K
337704.87	7706879.20	24K
337734.78	7706784.01	24K
337789.53	7706700.72	24K
337864.86	7706635.46	24K
337954.19	7706590.86	24K
338040.39	7706540.38	24K
338117.15	7706476.54	24K
338184.13	7706402.30	24K
338247.10	7706324.63	24K
338300.47	7706240.60	24K
338344.11	7706150.63	24K
338388.71	7706061.13	24K
338434.20	7705972.07	24K
338480.06	7705883.21	24K
338525.91	7705794.34	24K
338184.00	7705443.00	24K
