specie	km
PotentialUsers	66.5
Boidae	67
Cthous	67
PotentialUsers	67
PotentialUsers	67
Boidae	67
Boidae	67
Cinsidiosus	67
Daurita	67
Daurita	67
Daurita	67
Daurita	67
Daurita	67
Hhydrochaeris	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
PotentialUsers	67
Daurita	67
PotentialUsers	67
Cthous	9
PotentialUsers	9
Boidae	9
Boidae	9
Boidae	9
PotentialUsers	9
PotentialUsers	9
PotentialUsers	9
Boidae	10
Daurita	10
PotentialUsers	10
PotentialUsers	10
Cthous	10
PotentialUsers	10
