spp;year;segment
Didelphis aurita;2006;43
Boa constrictor;2006;51.5
Coendou insidiosus;2006;51
Coendou insidiosus;2006;29
Cerdocyon thous;2006;57.5
Boa constrictor;2006;34.5
Boa constrictor;2006;37.5
Didelphis aurita;2006;40.5
Tamandua tetradactyla;2006;32
Boa constrictor;2006;36.5
Boa constrictor;2007;50
Coendou insidiosus;2007;26.5
Herpailurus yagouaroundi;2007;26.5
Didelphis aurita;2007;26.5
Didelphis aurita;2007;43
Dasypus septemcinctus;2007;13
Didelphis aurita;2007;45
Boa constrictor;2007;42.5
Boa constrictor;2007;47.5
Boa constrictor;2007;36.5
Didelphis aurita;2007;27
Cerdocyon thous;2007;46.5
Procyon cancrivorus;2007;35.5
Didelphis aurita;2007;66.5
Cerdocyon thous;2007;63
Didelphis aurita;2007;42
Boa constrictor;2007;40.5
Cerdocyon thous;2007;60
Didelphis aurita;2007;26.5
Didelphis aurita;2007;43.5
Cerdocyon thous;2007;42
Didelphis aurita;2007;59
Cerdocyon thous;2007;39
Coendou insidiosus;2007;67
Cerdocyon thous;2007;11.5
Eira barbara;2007;63
Cerdocyon thous;2007;28
Didelphis aurita;2007;28
Boa constrictor;2007;38.5
Tamandua tetradactyla;2007;27
Boa constrictor;2006;31
Didelphis aurita;2007;59.5
Tamandua tetradactyla;2007;48.5
Cerdocyon thous;2007;48.5
Cerdocyon thous;2007;28
Tamandua tetradactyla;2007;37
Sylvilagus brasiliensis;2007;55
Cerdocyon thous;2007;46
Cerdocyon thous;2007;44.5
Cerdocyon thous;2007;45
Boa constrictor;2007;52
Didelphis aurita;2007;26.5
Cerdocyon thous;2007;38
Herpailurus yagouaroundi;2007;33
Boa constrictor;2007;38
Salvator merianae;2007;59
Cerdocyon thous;2007;59.5
Didelphis aurita;2007;48
Coendou insidiosus;2007;64.5
Cerdocyon thous;2007;52.5
Cerdocyon thous;2007;28
Boa constrictor;2007;63
Tamandua tetradactyla;2007;42.5
Salvator merianae;2007;48
Cerdocyon thous;2007;50
Boa constrictor;2007;64.5
Cerdocyon thous;2007;39
Cerdocyon thous;2007;38
Corallus hortulanus;2007;52
Corallus hortulanus;2007;54.5
Coendou insidiosus;2007;44.5
Didelphis aurita;2007;30
Boa constrictor;2007;63.5
Salvator merianae;2008;54.5
Didelphis aurita;2008;47.5
Epicrates cenchria ;2008;55.5
Didelphis aurita;2008;30
Boa constrictor;2008;37
Procyon cancrivorus;2008;46
Coendou insidiosus;2008;60
Didelphis aurita;2008;59.5
Didelphis aurita;2008;58
Didelphis aurita;2008;47.5
Boa constrictor;2008;40
Cuniculus paca;2008;46
Epicrates cenchria ;2008;60.5
Coendou insidiosus;2008;45
Cerdocyon thous;2008;54
Boa constrictor;2008;43
Didelphis aurita;2008;20.5
Cerdocyon thous;2008;27.5
Cuniculus paca;2008;45
Corallus hortulanus;2008;52
Tamandua tetradactyla;2008;54.5
Cerdocyon thous;2008;57.5
Didelphis aurita;2008;45
Didelphis aurita;2008;44
Didelphis aurita;2008;27.5
Procyon cancrivorus;2008;64
Didelphis aurita;2008;57
Cerdocyon thous;2008;45
Corallus hortulanus;2008;59.5
Boa constrictor;2008;55.5
Boa constrictor;2008;44.5
Cerdocyon thous;2008;18.5
Cerdocyon thous;2008;48
Tamandua tetradactyla;2008;32
Cerdocyon thous;2008;49
Didelphis aurita;2008;28
Cerdocyon thous;2008;44.5
Tamandua tetradactyla;2008;22.5
Cerdocyon thous;2008;47.5
Tamandua tetradactyla;2008;61
Cerdocyon thous;2008;24
Cerdocyon thous;2008;44.5
Cerdocyon thous;2008;63
Tamandua tetradactyla;2008;35
Didelphis aurita;2008;50
Cerdocyon thous;2008;39
Didelphis aurita;2008;38
Boa constrictor;2008;45.5
Boa constrictor;2008;55
Didelphis aurita;2008;43
Tamandua tetradactyla;2008;35
Boa constrictor;2008;41.5
Salvator merianae;2008;37.5
Cerdocyon thous;2008;62
Boa constrictor;2008;54.5
Boa constrictor;2008;34.5
Dasypus septemcinctus;2008;65
Didelphis aurita;2008;24
Boa constrictor;2008;9
Didelphis aurita;2008;28
Tamandua tetradactyla;2008;28
Procyon cancrivorus;2008;46
Coendou insidiosus;2008;46
Corallus hortulanus;2008;58
Tamandua tetradactyla;2008;49.5
Procyon cancrivorus;2008;62
Boa constrictor;2008;28
Boa constrictor;2009;55
Dasypus novemcinctus;2009;57.5
Didelphis aurita;2009;52
Didelphis aurita;2009;48.5
Coendou insidiosus;2009;57.5
Didelphis aurita;2009;43
Boa constrictor;2009;66
Didelphis aurita;2009;19
Boa constrictor;2009;38
Coendou insidiosus;2009;24.5
Procyon cancrivorus;2009;42
Sylvilagus brasiliensis;2009;19.5
Didelphis aurita;2009;45.5
Boa constrictor;2009;52
Coendou insidiosus;2009;59.5
Coendou insidiosus;2009;59
Cerdocyon thous;2009;40
Cerdocyon thous;2009;51.5
Procyon cancrivorus;2009;44.5
Chaetomys subspinosus;2009;12.5
Cerdocyon thous;2009;57
Cerdocyon thous;2009;57
Didelphis aurita;2009;43
Boa constrictor;2009;44
Cerdocyon thous;2009;30
Boa constrictor;2009;9
Boa constrictor;2009;65
Hydrochoerus hydrochaeris;2009;50
